account,date,classification,daily_pnl,win_rate,num_trades,avg_size
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,Greed,39978.37791,0.32427937915742794,1804,1376.8141407982262
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,Fear,46257.358187,0.30739021777936454,5602,658.3625776508391
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,Greed,8695.357326,0.07596685082872928,724,2936.1985911602205
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,Fear,100502.420808,0.3903846153846154,2080,3430.149134615385
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,Greed,49180.714882,0.418665400142484,4211,1636.15022559962
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,Fear,40314.808014,0.32003450506793185,9274,1157.8793541082598
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,Neutral,-14505.50575,0.0,39,7877.326666666667
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,Greed,67900.247545,0.5477031802120141,283,1684.2025795053005
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,Fear,19451.742477,0.8842105263157894,95,820.6771578947369
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,Greed,20925.513222,0.5526315789473685,190,3387.3391578947367
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,Fear,8751.751449,0.2692307692307692,182,3072.9576923076925
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,Greed,55.01524,0.2222222222222222,9,1862.9299999999998
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,Fear,21703.816512999998,0.3238095238095238,525,8441.060742857142
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,Greed,155.50335699999994,0.2751677852348993,1043,11034.799511025887
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,Extreme Greed,2606.8947559999997,0.21879063719115735,3076,7639.724411573472
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,Neutral,62586.1816,0.20998174071819842,1643,2875.2178940961658
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,Greed,1421755.845871,0.5670347003154574,1268,2166.171861198738
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,Fear,553818.000465,0.3910569105691057,7380,1818.587241192412
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,Fear,22488.500821,0.4386109962794543,4838,22504.555828854896
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,Fear,940157.212682,0.46753185464841907,21190,3210.7751864086836
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,Greed,11671.68,0.15355805243445692,267,2725.7805992509366
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,Fear,325441.97721599997,0.3722297602894618,2211,8103.972912709181
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,Greed,684215.002602,0.5692603460487706,9883,2693.2837964180917
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,Fear,126967.976166,0.3848636073693295,26651,1554.8373344339798
